Código do Equipamento,Equipamento,UF,Município,Rodovia,Km,Coordenadas,Registro INMETRO,Nº de Série
MGB18120015,Redutor Eletrônico de Velocidade,MG,GRAO MOGOL,251,"443,050","-43.231251, -16.405744",15322721,2300145
MGB20100100,Redutor Eletrônico de Velocidade,MG,INDIANOPOLIS,365,"576,000","-47.9092, -18.90334",14439581,11357
MGB22040117,Redutor Eletrônico de Velocidade,MG,IPATINGA,458,"146,000","-42.527604, -19.480318",14439503,11308
MGR18110058,Controlador Eletrônico de Velocidade,MG,ITAMBACURI,116,"305,680","-41.654359, -18.036687",15263516,2300129
MGR18110059,Controlador Eletrônico de Velocidade,MG,ITAMBACURI,116,"305,680","-41.654359, -18.036687",15263516,2300129
MGB21010102,Redutor Eletrônico de Velocidade,MG,ITAOBIM,116,"129,880","-41.501207, -16.689305",15324048,2300171
MGB19120041,Redutor Eletrônico de Velocidade,MG,ITAOBIM,116,"114,600","-41.501621, -16.555421",14438499,2300019
MGB19120042,Redutor Eletrônico de Velocidade,MG,ITAOBIM,116,"116,600","-41.505537, -16.572184",14438458,2300005
MGR22010139,Controlador Eletrônico de Velocidade,MG,ITAOBIM,116,"116,000","-41.504503, -16.56458",14808678,2300030
MGR22010140,Controlador Eletrônico de Velocidade,MG,ITAOBIM,116,"109,900","-41.5062, -16.5175",14808679,2300029
MGB18090004,Redutor Eletrônico de Velocidade,MG,ITUETA,259,"27,600","-41.223308, -19.390257",15263519,2300127
MGB20090096,Redutor Eletrônico de Velocidade,MG,JAGUARACU,381,"278,370","-42.71038, -19.56105",14980409,11613
MGB20090095,Redutor Eletrônico de Velocidade,MG,JOAO MONLEVADE,381,"361,800","-43.21134, -19.85059",14439563,11343
MGR20090120,Controlador Eletrônico de Velocidade,MG,JOAO MONLEVADE,381,"350,190","-43.12432, -19.86194",14439509,11313
MGR20090121,Controlador Eletrônico de Velocidade,MG,JOAO MONLEVADE,381,"358,810","-43.1927, -19.8394",14439511,11027
MGB21080109,Redutor Eletrônico de Velocidade,MG,JOAO MONLEVADE,381,"348,300","-43.10843, -19.85736",14808607,11611
MGR23040175,Controlador Eletrônico de Velocidade,MG,LAGOA FORMOSA,365,"393,200","-46.359302, -18.634467",15105771,11347
MGR23040176,Controlador Eletrônico de Velocidade,MG,LAGOA FORMOSA,365,"393,500","-46.362653, -18.63513",15105770,11364
MGB20090081,Redutor Eletrônico de Velocidade,MG,MANHUACU,262,"34,080","-42.02466, -20.257913",14112600,11304
MGB20090075,Redutor Eletrônico de Velocidade,MG,MANHUACU,262,"34,850","-42.030706, -20.257826",14439501,11305
MGB20090076,Redutor Eletrônico de Velocidade,MG,MANHUACU,262,"37,450","-42.041053, -20.273123",14439502,11306
MGB20090077,Redutor Eletrônico de Velocidade,MG,MANHUACU,262,"38,630","-42.051728, -20.275058",14439550,11359
MGB20090090,Redutor Eletrônico de Velocidade,MG,MANHUACU,262,"51,500","-42.149373, -20.246764",14439504,11307
MGB20090071,Redutor Eletrônico de Velocidade,MG,MANHUACU,116,"589,940","-42.149722, -20.246598",14112598,11302
MGR18120060,Controlador Eletrônico de Velocidade,MG,MARILAC,116,"387,380","-41.975544, -18.661746",15263518,2300126
MGR18120061,Controlador Eletrônico de Velocidade,MG,MARILAC,116,"387,380","-41.975544, -18.661746",15263518,2300126
MGR19120103,Controlador Eletrônico de Velocidade,MG,MEDINA,116,"73,500","-41.472637, -16.232477",15324049,2300149
MGB19110039,Redutor Eletrônico de Velocidade,MG,MEDINA,116,"72,700","-41.471369, -16.225284",14808602,2300020
MGB19110040,Redutor Eletrônico de Velocidade,MG,MEDINA,116,"72,200","-41.471267, -16.22085",14808611,2300021
MGR19070088,Controlador Eletrônico de Velocidade,MG,MONTES CLAROS,365,"6,150","-43.910784, -16.80788",15324030,2300170
MGR19070090,Controlador Eletrônico de Velocidade,MG,MONTES CLAROS,251,"515,700","-43.735145, -16.658445",15324029,2300156
MGR18110031,Controlador Eletrônico de Velocidade,MG,MONTES CLAROS,365,"2,910","-43.893836, -16.78861",15261003,2300074
MGB24030125,Redutor Eletrônico de Velocidade,MG,NOVA ERA,381,"321,113","-43.01925, -19.739173",14439581,11357
MGB19120045,Redutor Eletrônico de Velocidade,MG,PADRE PARAISO,116,"178,000","-41.480786, -17.06744",14808612,2300016
MGB19120046,Redutor Eletrônico de Velocidade,MG,PADRE PARAISO,116,"179,500","-41.48522, -17.079661",14808613,2300015
MGB20100099,Redutor Eletrônico de Velocidade,MG,PATOS DE MINAS,365,"407,630","-46.49092, -18.63905",14439586,11317
MGB20090092,Redutor Eletrônico de Velocidade,MG,PATROCINIO,365,"460,760","-46.90174, -18.86988",14439582,11297
MGB22020112,Redutor Eletrônico de Velocidade,MG,PRESIDENTE OLEGARIO,365,"372,000","-46.206331, -18.541894",14980035,11626
MGR18090011,Controlador Eletrônico de Velocidade,MG,RESPLENDOR,259,"40,500","-41.222588, -19.302014",15263558,2300140
MGB20090082,Redutor Eletrônico de Velocidade,MG,RIO CASCA,262,"116,600","-42.62447, -20.23155",14439506,11310
MGB20090083,Redutor Eletrônico de Velocidade,MG,RIO CASCA,262,"118,900","-42.64131, -20.22613",14439507,11311
MGR22020150,Controlador Eletrônico de Velocidade,MG,RIO PARANAIBA,354,"301,000","-46.162383, -19.122408",14980026,11625
MGR23020171,Controlador Eletrônico de Velocidade,MG,RIO PARANAIBA,354,"301,600","-46.157611, -19.126651",15105772,11351
MGR18090021,Controlador Eletrônico de Velocidade,MG,RUBELITA,251,"334,300","-42.410219, -16.263993",15322719,2300226
MGR20090123,Controlador Eletrônico de Velocidade,MG,SABARA,381,"439,800","-43.76183, -19.80216",14439512,11315
MGB20090093,Redutor Eletrônico de Velocidade,MG,SABARA,381,"453,350","-43.865733, -19.84198",14438446,11321
MGR18090018,Controlador Eletrônico de Velocidade,MG,SALINAS,251,"313,500","-42.29676, -16.139978",15324026,2300153
MGR18090019,Controlador Eletrônico de Velocidade,MG,SALINAS,251,"316,000","-42.314774, -16.164357",15261004,2300072
MGR18090015,Controlador Eletrônico de Velocidade,MG,SALINAS,251,"310,930","-42.280793, -16.134365",15322720,2300225
MGB22020114,Redutor Eletrônico de Velocidade,MG,SANTA LUZIA,381,"448,670","-43.83054, -19.82359",14438445,11362
MGR23050181,Controlador Eletrônico de Velocidade,MG,SANTA LUZIA,381,"435,900","-43.772329, -19.809603",14439579,11354
MGB22020111,Redutor Eletrônico de Velocidade,MG,SAO DOMINGOS DO PRATA,262,"160,500","-42.83703, -19.962963",14439508,11312
MGB24010124,Redutor Eletrônico de Velocidade,MG,SAO GONCALO DO RIO ABAIXO,381,"382,000","-43.356144, -19.83093",15435011,11059
MGB23090123,Redutor Eletrônico de Velocidade,MG,SAO GONCALO DO RIO ABAIXO,381,"381,150","-43.347681, -19.83569",15435012,10672
MGR21080138,Controlador Eletrônico de Velocidade,MG,SAO GONCALO DO RIO ABAIXO,381,"362,420","-43.2174, -19.85425",14808608,11610
MGR20090122,Controlador Eletrônico de Velocidade,MG,SAO GONCALO DO RIO ABAIXO,381,"371,590","-43.27529, -19.8497",14439510,11314
MGB20110101,Redutor Eletrônico de Velocidade,MG,SERRA DO SALITRE,146,"57,900","-46.671004, -19.162702",14439584,11296
MGB21030105,Redutor Eletrônico de Velocidade,MG,SERRA DO SALITRE,146,"57,300","-46.668834, -19.160072",14439583,11365
MGB19120048,Redutor Eletrônico de Velocidade,MG,TEOFILO OTONI,116,"244,207","-41.491325, -17.594474",14438457,2300004
